"rank","name","pop2021","pop2010","change","density"
"419","Salida","14229","13722","0.0369","1038.6131"
"420","Mill Valley","14185","13921","0.0190","1149.8772"
"421","Avenal","14052","15278","-0.0802","278.4267"
"422","Hawaiian Gardens","13953","14277","-0.0227","5682.1375"
"423","El Sobrante","13881","12723","0.0910","741.8433"
"424","Oak Park","13853","13811","0.0030","1010.3788"
"425","Sun Village","13819","11565","0.1949","493.8461"
"426","El Sobrante","13818","12669","0.0907","1929.6565"
"427","Lindsay","13493","11772","0.1462","1906.4318"
"428","Olivehurst","13464","13656","-0.0141","696.8475"
"429","Big Bear City","13463","12304","0.0942","162.7059"
"430","Grover Beach","13375","13176","0.0151","2233.2013"
"431","Carpinteria","13283","13013","0.0207","1981.7594"
"432","Solana Beach","13210","12898","0.0242","1495.3470"
"433","Palos Verdes Estates","13099","13435","-0.0250","1059.3954"
"434","Lakeland Village","13002","11541","0.1266","571.6798"
"435","San Marino","12870","13104","-0.0179","1319.5304"
"436","Half Moon Bay","12848","11345","0.1325","771.8278"
"437","Bonita","12706","12538","0.0134","978.2651"
"438","Grass Valley","12689","12876","-0.0145","933.3990"
"439","Grand Terrace","12640","12064","0.0477","1391.7455"
"440","Muscoy","12562","10644","0.1802","1606.6240"
"441","Marysville","12524","12094","0.0356","1396.0244"
"442","Commerce","12459","12840","-0.0297","735.7605"
"443","Clayton","12403","10958","0.1319","1246.9512"
"444","San Anselmo","12384","12320","0.0052","1786.0233"
"445","Delhi","12301","10755","0.1437","1352.9328"
"446","Kingsburg","12182","11464","0.0626","1268.7495"
"447","Larkspur","12158","11920","0.0200","1552.1155"
"448","Home Gardens","12153","11570","0.0504","3104.1749"
"449","Fortuna","12133","12048","0.0071","892.6706"
"450","Newman","12130","10273","0.1808","2271.3952"
"451","Emeryville","12040","10125","0.1891","3661.6891"
"452","Camp Pendleton South","11936","10616","0.1243","1176.9926"
"453","View Park-Windsor Hills","11756","11075","0.0615","2465.2679"
"454","Lake Los Angeles","11751","12328","-0.0468","465.7680"
"455","Diamond Springs","11731","11037","0.0629","272.1987"
"456","Tamalpais-Homestead Valley","11689","10735","0.0889","963.2309"
"457","Scotts Valley","11637","11581","0.0048","972.9526"
"458","Alum Rock","11551","15536","-0.2565","5295.2961"
"459","Mendota","11481","11332","0.0131","1309.3773"
"460","Magalia","11476","11310","0.0147","316.1885"
"461","Placerville","11397","10479","0.0876","753.4659"
"462","Healdsburg","11383","11309","0.0065","984.6204"
"463","Canyon Lake","11338","10599","0.0697","1119.1061"
"464","Winton","11288","10613","0.0636","1433.2403"
"465","Los Alamitos","11281","11391","-0.0097","1082.5568"
"466","Hillsborough","11269","10859","0.0378","702.8935"
"467","Signal Hill","11231","11018","0.0193","1979.4668"
"468","Rossmoor","11128","10244","0.0863","2784.0254"
"469","Valley Center","11077","9277","0.1940","155.6955"
